iter	MultiClass
0	1.049332336
1	1.003138615
2	0.9667301847
3	0.9292875513
4	0.8968877573
5	0.8661415885
6	0.8399633585
7	0.8144481207
8	0.7922067524
9	0.7704718766
10	0.7489974583
11	0.7302528679
12	0.7123815691
13	0.6955272191
14	0.6795887382
15	0.6650282567
16	0.6507537213
17	0.6380810626
18	0.6257205414
19	0.6141261865
20	0.6035424447
21	0.5940764172
22	0.5837218242
23	0.5747484453
24	0.5660181666
25	0.5579654689
26	0.5504446736
27	0.5432535428
28	0.5365645308
29	0.52995703
30	0.5234443795
31	0.5172982343
32	0.5121076552
33	0.5066514949
34	0.5020821536
35	0.4971311188
36	0.4924577772
37	0.4881260209
38	0.4839721788
39	0.4799489459
40	0.4760928632
41	0.4725907017
42	0.4708279074
43	0.4672486228
44	0.4640020257
45	0.4610465487
46	0.4581268436
47	0.4552594852
48	0.4522663473
49	0.4498115576
50	0.4471894744
51	0.4448909147
52	0.4420835714
53	0.4396509432
54	0.4374005356
55	0.4349125605
56	0.4328454741
57	0.4307773171
58	0.4291897343
59	0.4271527379
60	0.4250442527
61	0.4232776263
62	0.4218264631
63	0.419808248
64	0.4180273628
65	0.4162926881
66	0.4152035051
67	0.4137478047
68	0.4122486572
69	0.410910354
70	0.4096719725
71	0.4084130996
72	0.4074221454
73	0.4064451288
74	0.404848569
75	0.4032204322
76	0.4026352593
77	0.4013344247
78	0.3998646409
79	0.3989750774
80	0.3979857901
81	0.3969916487
82	0.3959195659
83	0.3949325172
84	0.393936583
85	0.3927118428
86	0.3915147713
87	0.3897814501
88	0.3885662015
89	0.3873873478
90	0.3858575155
91	0.3846413018
92	0.3841940146
93	0.3833915937
94	0.3817815101
95	0.3809935726
96	0.380079107
97	0.3796247311
98	0.3791132619
99	0.3780461413
100	0.3773808024
101	0.3766832494
102	0.3757919213
103	0.375213959
104	0.3743307716
105	0.3733732942
106	0.3725531168
107	0.3715443575
108	0.3705522729
109	0.3692834571
110	0.36832644
111	0.3673074906
112	0.3664037633
113	0.3658203693
114	0.3651868167
115	0.3637813935
116	0.3629409268
117	0.3622877
118	0.3612829834
119	0.3606379535
120	0.3600080051
121	0.359418713
122	0.3590342834
123	0.358187206
124	0.3573540767
125	0.3568614937
126	0.3560740003
127	0.3554275652
128	0.3543684859
129	0.3537616179
130	0.3528963457
131	0.3524233356
132	0.3519262151
133	0.3516675794
134	0.3507829322
135	0.3495435599
136	0.3488065146
137	0.348125873
138	0.3471886206
139	0.3468986606
140	0.3460227749
141	0.3452430403
142	0.3446761015
143	0.343801895
144	0.3430249944
145	0.342435713
146	0.3419433354
147	0.3411709787
148	0.3404608614
149	0.3398263803
150	0.3392454643
151	0.3383417738
152	0.3375608814
153	0.336477671
154	0.3358459473
155	0.3355358415
156	0.3349404363
157	0.3340049469
158	0.3333752712
159	0.3326232137
160	0.331686585
161	0.3310104165
162	0.3301716008
163	0.3293289913
164	0.3284254891
165	0.3276498084
166	0.3268565511
167	0.3263617883
168	0.3257481749
169	0.325089848
170	0.324576217
171	0.3235849585
172	0.3224901734
173	0.3218406242
174	0.3211654101
175	0.3206585689
176	0.3196718425
177	0.3193842509
178	0.3185860619
179	0.3177496679
180	0.3166512711
181	0.3163077272
182	0.3154268953
183	0.3147742408
184	0.3142053146
185	0.3136259821
186	0.3129657867
187	0.3124299721
188	0.3117831554
189	0.311474454
190	0.3108431111
191	0.3102862221
192	0.3097001005
193	0.3091747774
194	0.3085600222
195	0.3079739448
196	0.3070719041
197	0.3062205449
198	0.3054629075
199	0.3047412163
